arunachal univeristy,3,itanger,,
assam university,3,silchar,,
avinashilingam institute for home science and higher education for women,3,coimbatore,,
awadhesh pratap (ap) singh vishwavidyalaya (university),3,rewa,,
b n mandal university,3,madhipura,,
babasaheb bhimrao ambedkar bihar university,3,muzaffarpur,,
babasaheb bhimrao ambedkar university,3,lucknow,,
banasthali vidyapith,3,banasthali,,
berhampur university,3,berhampur,,
bhavnagar university,3,bhavnagar,,
bidhan chandra krishi viswavidyalaya,3,mohanpur,,
birsa agricultural university,3,ranchi,,
bundelkhand university,3,jhansi,,
central agricultural university,3,imphal,,
central institute of fisheries education,3,"madras, (Chennai)",
chandra shekhar azad university of agriculture and technology,3,kanpur,,
chaudhary charan singh university,3,meerut,,
dakshina bharat hindi prachar sabha,3,mardras & hyderabad,,
dayalbagh educational institute,3,agra,,
deccan college post graduate and research institute,3,pune,,
dibrugarh university,3,dibrugarh,,
dr babasaheb ambedkar marathwada university,3,aurangabad,,
dr babasaheb ambedkar technological university,3,lonere,,
dr ram manohar lohia university,3,faizabad,,
dr yashwant singh (y s) parmar univrsity of horticulture and foresty,3,nauni (solan),,
gao university,3,panaji,,
gauhati university,3,guwahati,,
gokhale institute of politics and economics ,3,pune,,
gujarat agricultural university,3,sardar krushinagar,,
gujarat ayurved university,3,jamnagar,,
gujarat vidyapith,3,ahmedabad,,
gulbarga university,3,gulbarga,,
guru ghasidas university,3,bilaspur,,
guru jambeshwar university,3,hisar,,
guru nanak dev university,3,amritsar,,
gurukula kangri vishwavidyalaya,3,hardwar,,
hemwati nandan bahuguna garwhal university,3,garhwal,,
himachal pradesh krishi vishva vidyalaya,3,palampur,,
himachal pradesh university,3,shimla,,
indian agricultural research institute,3,new delhi,,
indira gandhi institute of medical sciences,3,patna,,
indira gandhi krishi vishwavidyalaya,3,raipur,,
jai narain vyas university,3,jodhpur,,
jai prakash vishwa vidyalaya,3,chapra,,
jain vishva bharati institute,3,ladnun,,
jamia hamdard,3,new delhi,,
jawaharlal nehru krishi vishwa vidyalaya,3,jabalpur,,
jiwaji university,3,gwalior,,
kakatiya university,3,warangal,,
kameshwara singh darbhanga sanskrit university,3,darbhanga,,
kannada university,3,kamalpur,,
konkan krishi vidyapeeth,3,dapoli,,
kumaun university,3,nainational institute of technologyal,,
kuvempu university,3,shimoga,,
lalit narayan mithila university,3,darbhanga,,
magadh university,3,bodh,,
maharashi dayanand university,3,rohtak,,
"mahatma gandhi gramodya vishwavidyalaya, Satna",3,Satna,
"mahatma gandhi university, Kottayam",3,Kottayam,
mahatma phule krishi vidyapeeth,3,rahuri,,
makhanlal chaturvedi national university institute of journalism,3,bhopal,,
mangalore university,3,mangalagangothri,,
manipur university,3,imphal,,
marathwada krishi vidyapeeth,3,parbhani,,
"mohanlal sukhadia university, Udaipur",3,Udaipur,
'mother teresa women''s university',3,"kodaikanal, Madras (Chennai)",
nagaland university,3,kohima,,
nagarjuna university,3,guntur,,
"narendra deva university of agriculture and technology, Faizabad",3,Faizabad,
north gujarat university,3,patan,,
north maharashtra university,3,jalgaon,,
"pandit (pt) ravishankar shukla university, Raipur",3,Raipur,
punjabi university,3,patiala,,
punjabrao krishi vidyapeeth,3,akola,,
purvanchal (poorvanchal) univesity,3,jaunpur,,
rajasthan vidyapeeth,3,udaipur,,
rajendra agricultural university,3,samastipur,,
"rani durgavati vishwavidyalala, Jabalpur",3,jabalpur,
rashtriya sanskrit vidyapeetha,3,tirupati,,
"pandit (pt) ravishankar shukla univresity, Raipur",3,,
rohilkhand university,3,bareilly,,
sambalpur univesity,3,sambalpur,,
saurashtra university,3,rajkot,,
sher-e-kashmir university of agricultural sciences and technology,3,srinagar,,
shivaji university,3,kolhapur,,
shri jagannath sanskrit vishvavidyalaya,3,puri,,
siddhu kanhu university,3,dumka,,
south gujarat university,3,surat,,
sree sankaracharya university of sanskrit ,3,kaladi,,
sri krishnadevaraya university,3,anantapur,,
sri padmavati mahila visvavidyalayam,3,tirupati,,
swami ramanand teerth marathwada university,3,nanded,,
tamil university,3,thanjavur,,
telugu university,3,hyderabad,,
tezpur university,3,tezpur,,
tripura university,3,agartala,,
university of agricultural sciences,3,dharwad,,
"maharashi dayanand saraswati university, Ajmer",3,,
" maharaja sayajirao university, Baroda",3,Baroda,
babasaheb bhimrao ambedkar bihar university,3,,,
university of gorakhpur,3,gorakhpur,,
"university of health sciences, Andhra Pradesh",3,,
"devi ahila vishwavidyalaya, Indore",3,,
"rani durgavati vishwavidyalala, Jabalpur",3,,
university of kashmir,3,,,
university of jammu,3,jammu,,
"jai narain vyas university, Jodhpur",3,,
university of north bengal,3,siliguri,,
"mohanlal sukhadia university, Udaipur",3,,
veer kunwar singh university,3,arrah ,,
vidyasagar university,3,midnapore,,
vikram university,3,ujjain,,
vinoba bhave university,3,hazaribag,,
west bengal university of animal & fishery science,3,calcutta,,
dr b r (bhimrao ramji) ambedkar open university,2,hyderabad,,
mit mandsaur,2,mandsaur,,
dr babasaheb ambedkar open university,2,ahmedabad,,
kota open university,2,"kota madhya pradesh bhoj [open] university, Bhopal",
nalanda open university,2,patna,,
yashwantrao chavan maharashtra open university,2,nashik,,
arya university,1,"srinagar, J&K",
bharatiya shiksha parishad,1,"lucknow, UP",
bible university,1,"ambur, North Arcot, Tamil Nadu"
commercial university,1,"daryaganj, Delhi",
ddb sanskrit university,1,"puttur, Trichi, Tamil Nadu"
eastern orthodox university,1,"ambur, North Arcot, Tamil Nadu"
gandhi hindi vidyapith,1,"prayag, Allahabad, UP"
globe university of science,1,"kumakonam, Tamil Nadu",
indian education council of up,1,"lucknow, UP",
maharana pratap shiksha niketan vishwavidyalaya,1,"pratapgarh, UP",
mahila gram vidyapith/ vishwavidyalaya,1,"prayag, Allahabad, UP"
maithili university/viswavidyalaya,1,"darbhanga, Bihar",
national university,1,"nagpur, Maharashtra",
national university of electro complex homeopathy,1,"kanpur, UP",
netaji subhash chandra bose [open] university,1,"achaltal, Aligarh, UP"
open vishwavidyalaya,1,"lucknow, UP",
raja arabic university,1,"nagpur, Maharashtra",
shrimati mahadevi varma open university,1,"mughal srai, UP",
'st john''s university',1,"kishanattam, Kerala",
testator research university,1,"bodinayakanur, Tamil Nadu",
unational institute of technologyed nations university,1,delhi,,
urdu university,1,"motia park, Bhopal, Madhya Pradesh"
uttar pradesh vishwavidyalaya,1,"kosi kalan, Mathura, UP"
varanaseya sanskrit vishwavidyalaya,1,"varanasi, UP",
vocational university,1,delhi,,
