Skill_id,Skill_name
243,Hypermesh
244,Tecplot
245,LS-DYNA
246,CST Microwave Studio
247,XFDTD
248,Abaqus
249,Tgrid
250,ModeFrontier
251,Hyperelasticity
252,Autodesk
253,Superalloys
254,Fractography
255,Tensile
256,Thermocalc
257,EBSD
258,NASGRO
259,Stress Engineers
260,Microstructure
261,APQP
262,Non-parametric
263,Taguchi
264,GLM
265,Principal Component Analysis
266,Statistical Consulting
267,Control Charts
268,Statistical Computing
269,QFD
270,Multivariate Analysis
271,ANOVA
272,Logistic Regression
273,Cluster Analysis
274,Linear Regression
275,Statistical Software
276,JMP
277,Multivariate Statistics
278,DFSS
279,Dairy Products
280,Process Capability
281,Experimental Design
282,Response Surface Methodology
283,Univariate
284,Categorical Data Analysis
285,Chemometrics
286,Correspondence Analysis
287,Linear Models
288,MANOVA
289,Mixed Model
290,General Linear Models
291,ANCOVA
292,Chi-square
293,Process Analytical Technology
294,Statistical Package
295,Factor Analysis
296,Model Selection
297,Descriptive
298,CHAID
299,ModeFrontier
300,Global Optimization
301,Metaheuristics
302,Simulated Annealing
303,Optimization Strategies
304,Discrete Optimization
305,Swarm Intelligence
306,Evolutionary Algorithms
307,Evolutionary Computation
308,Stochastic Optimization
309,Vehicle Routing
310,Nonlinear Optimization
311,Soft Computing
312,Optimization Techniques
313,Convex Optimization
314,Genetic Programming
315,Combinatorial Optimization
316,Computational Intelligence
317,Optimization Models
318,Adaptive Control
319,Multi-objective Optimization
320,Simpack
321,Isight
322,Pi Toolbox
323,MADYMO
324,Ensight
325,Motec
326,Tgrid
327,Ricardo Wave
328,Morphing
329,STAR-CD
330,XFOIL
331,Dymola
332,Radioss
333,Paraview
334,Optistruct
335,ANSA
336,Star-CCM+
337,ICEM CFD
338,Structural Optimization
339,Robust Control
340,Adaptive Control
341,Model Predictive Control
342,System Identification
343,Control System Development
344,Loop Tuning
345,Safety Instrumented Systems
346,PanelView
347,GE Cimplicity
348,Robot Control
349,Cimplicity
350,PanelView Plus
351,Optimal Control
352,Electrical Controls Design
353,Control Panel Design
354,PLC-5
355,Bailey
356,Promis-e
357,Real-time Control Systems
358,Modicon
359,Robotic Design
360,Path Planning
361,Human-robot Interaction
362,Motion Controllers
363,Industrial Robots
364,Mobile Robotics
365,Autonomous Vehicles
366,SLAM
367,Kuka
368,Sensor Fusion
369,Real-time Control
370,Robot Programming
371,Unmanned Vehicles
372,Haptics
373,Reinforcement Learning
374,ROS
375,Robotic Surgery
376,Loops
377,Triconex
378,Foundation Fieldbus
379,Control Logic
380,HMIs
381,Loop Diagrams
382,Foxboro I/A
383,Honeywell DCS
384,F&G
385,ControlNet
386,DH+
387,Modbus
388,Experion
389,xPC Target
390,Feedback Control Systems
391,Multi-body Dynamics
392,AMESim
393,Dynamical Systems
394,Modelica
395,dSPACE
396,Automation Studio
397,Linear Systems
398,Kinematics
399,Manufacturing Operations Management
400,Manufacturing Processes
401,Manufacturing Operations
402,Manufacturing Engineering
403,Process Manufacturing
404,Assembly Processes
405,Design for Manufacturing
406,Assembly Lines
407,Engineering Changes
408,Manufacturing Systems
409,Assemblies
410,Contract Manufacturing
411,Value Stream Mapping
412,Cellular Manufacturing
413,Jigs
414,SPC
415,Product Manufacturing
416,Shop Floor
417,Machine Tools
418,Manufacturing??????
419,Capital Equipment Justification
420,Virtual Manufacturing
421,PFMEA
422,Final Assembly
423,Single Piece Flow
424,Design for Assembly
425,Shainin
426,Time Standards
427,Set-up Reduction
428,Continuous Flow
429,Line Balance
430,Fixture Design
431,Takt
432,Demand Flow Technology
433,DFMEA
434,DFMA
435,Process Layout
436,Tolerance Design
437,Design for Environment
438,DFA
439,Large Assembly Management
440,Enclosure Design
441,Large Assemblies
442,Spring Design
443,ANSI Y14.5
444,Pro Intralink
445,Robust Design
446,Electro-Mechanical Products
447,Geometric Dimensioning & Tolerancing
448,Electro-Mechanical Packaging
449,DFLSS
450,Top-down
451,ASME Y14.5
452,Mechanical Product Design
453,Intralink
454,CNC operation
455,GibbsCAM
456,SmartCAM
457,Fadal
458,Mazak
459,CNC Mill
460,Okuma
461,HaaS
462,AlphaCAM
463,Cutting Tool Design
464,Surfcam
465,Mastercam
466,Wire EDM
467,CAMWorks
468,PowerMill
469,FeatureCAM
470,Broaching
471,CNC programing
472,Microvellum
473,CAD/CAM Software
474,Cimatron
475,Vertical Mill
476,Surface Grinding
477,ArtCAM
478,SolidCAM
479,End Mill
480,Lapping
481,Precision Tooling
482,Optical Comparator
483,Shop Tools
484,Grinders
485,Job Shop
486,Shears
487,Band Saw
488,Turning Around
489,CNC Programming
490,Dilatometry
491,Superalloys
492,Fractography
493,Mechanical Behavior of Materials
494,Metal Matrix Composites
495,Ceramic Processing
496,Creep
497,EBSD
498,Mechanical Testing Of Materials
499,Powder Processing
500,Slip Casting
501,Thermoelectrics
502,High Temperature
503,Inconel
504,Material Characterisation
505,Shape Memory Alloys
506,Ceramic Materials
507,DTA
508,Silicon Carbide
509,Solid Oxide Fuel Cells
510,Oxides
511,Nanomaterials
512,Microstructure
513,Nanocomposites
514,Powder X-ray Diffraction
515,Metallography
516,Surface Chemistry
517,Polymer Characterization
518,Sol-gel
519,Computational Materials Science
520,Structure-property Relationships
521,Nanostructures
522,HRTEM
523,Inorganic Materials
524,Scanning Electron Microscopy
525,Polymer Science
526,Surface Analysis
527,Nanowires
528,Carbon Nanotubes
529,Nanofabrication
530,Nanoscience
531,Graphene
532,Nanofibers
533,Polymer Nanocomposites
534,Supercapacitors
535,Nanotoxicology
536,Magnetic Nanoparticles
537,Nanomechanics
538,Photocatalysis
539,Scanning Probe Microscopy
540,Quantum Dots
541,Nanochemistry
542,Ceramics
543,Fracture
544,Fatigue
545,Plastics
546,Metallurgy
547,Physical Metallurgy
548,Heat Treatment
549,Materials structure
550,Material Thermodynamics
551,Polymer
552,Polymer Chemistry
553,Polymer Blends
554,Block Copolymers
555,Polymerization
556,ATRP
557,Polymer Physics
558,Emulsion Polymerization
559,Polymer Engineering
560,Polyolefins
561,Biodegradable Polymers
562,Polymer Composites
563,Polymer Additives
564,Polymer Compounding
565,Thermoplastic Elastomers
566,Thermoplastics
567,Thermoset
568,TPU
569,PEEK
570,TPE
571,Plastics Compounding
572,Pultrusion
573,Scientific Molding
574,Compression Molding
575,Engineering Plastics
576,Filament Winding
577,Elastomers
578,Polycarbonate
579,Rubbers
580,Plastics Industry
581,VARTM
582,Kevlar
583,Honeycomb
584,Lightweight
585,FiberSIM
586,GRP
587,RTM
588,Adhesive Bonding
589,FRP
590,Composite Applications
591,Rotational Molding
592,Foam Core
593,Rivet
594,Carbon Fiber
595,Boat Building
596,Composite Structures
597,Aerospace Structures
598,Ballistics
599,Composite
600,Composites
601,Composite Materials
602,xPC Target
603,Robot Control
604,Mobile Robotics
605,Robust Control
606,Path Planning
607,Industrial Robots
608,System Identification
609,Adaptive Control
610,Haptics
611,Robotic Design
612,Feedback Control Systems
613,Multi-body Dynamics
614,AMESim
615,Automation Studio
616,Modelica
617,dSPACE
618,Autonomous Vehicles
619,Linear Motion
620,Linear Systems
621,Dynamical Systems
622,Electrical Controls Design
623,Robot Programming
624,Unmanned Vehicles
625,Servo Control
626,Real-time Control
627,Robotic Welding
628,Mechanical Product Design
629,ROS
630,Eagle PCB
631,Atmel AVR
632,8051 Microcontroller
633,CNC Mill
634,Kinematics
635,PCB layout design
636,Motoman
637,Human-robot Interaction
638,Kuka
639,Nachi
640,Fanuc Robots
641,Robot
642,Laboratory Robotics
643,Robotic Surgery
644,Robcad
645,Machine Vision
646,Liquid Handling
647,Mechatronics
648,V+
649,Flexible Manufacturing
650,Yaskawa
651,Assembly Automation
652,Cognex
653,Palletizing
654,Spot Welding
655,EtherCAT
656,Remote I/O
657,Wearable Computing
658,X3D
659,Collision Detection
660,Medical Simulation
661,Virtual Environment
662,Volume Rendering
663,Mixed Reality
664,Real-time Graphics
665,Virtools
666,Immersive Environments
667,Psychophysics
668,Real-time Simulation
669,Surgical Navigation
670,Gesture Recognition
671,Stereo Vision
672,Immersive
673,Electro-Mechanical Packaging
674,Enclosure Design
675,Large Assemblies
676,Large Assembly Management
677,Robotic Design
678,OneSpace
679,Pro Intralink
680,PDM Works
681,Electronic Product Design
682,Cosmos FEA
683,ASME Y14.5
684,Product Design Support
685,Opto-mechanical Engineering
686,Intralink
687,Design for Assembly
688,Electro-Mechanical Design
689,PTC Pro/Engineer
690,NEi Nastran
691,Windchill 9.1
692,Ideas NX
693,Tolerance Design
694,Design for Environment
695,DFA
696,Autodesk
697,Maya
698,Autodesk Maya
699,Mudbox
700,DFMA
701,ANSI Y14.5
702,Electro-Mechanical Products
703,Robust Design
704,Geometric Dimensioning & Tolerancing
705,DFLSS
706,Mechanical Product Design
707,Top-down
708,DFX
709,SDRC I-DEAS
710,C3P
711,Digital Buck
712,Metaphase
713,VisMockup
714,WERS
715,I-DEAS
716,Team Center Engineering
717,Surface Development
718,CADDS5
719,CADAM
720,ICEM Surf
721,Flotherm
722,UGS
723,CFDesign
724,Class A Surfacing
725,Concept Modeling
726,Generative Shape Design
727,ICEM
728,Alias Automotive
729,Automotive Interiors
730,GSD
731,Bunkspeed
732,Alias
733,Vehicle Architecture
734,Fascia
735,Instrument Panel
736,V5.2
737,Exterior Trim
738,Parametric Modeling
739,Clay Modelling
740,SINDA
741,Convection
742,Heat Sinks
743,Electronic Cooling
744,Icepak
745,Thermal Modeling
746,Thermal Science
747,Flotherm
748,Thermal Testing
749,Thermal System Design
750,Two-phase Flow
751,Gas Dynamics
752,Thermal Management
753,Thermal Energy Storage
754,Flow Visualization
755,Compressible Flow
756,Thermoelectrics
757,Thermodynamic Modeling
758,Thermal Hydraulics
759,Airflow
760,Aerothermodynamics
761,Grid Generation
762,Gridgen
763,Hypersonic
764,XFOIL
765,Space Environment
766,Magnetohydrodynamics
767,FieldView
768,Astrodynamics
769,Ricardo Wave
770,Finite Volume
771,Trajectory Analysis
772,STAR-CD
773,Chemkin
774,Combustion Analysis
775,Subsonic
776,Flight Mechanics
777,Turbulence Modeling
778,LDV
779,High Speed Imaging
780,PIV
781,Experimental Mechanics
782,Wind Tunnel
783,Vortex
784,Tecplot
785,Aeroacoustics
786,Turbulence
787,Fluid-Structure Interaction
788,Solid Mechanics
789,OpenFOAM
790,Mechanics of Materials
791,CFX
792,Fluid Mechanics
793,ICEM CFD
794,Tgrid
795,Cavitation
796,Ensight
797,User Flows
798,Contextual Inquiry
799,Heuristic Evaluation
800,User Research
801,Wire Framing
802,OmniGraffle
803,Paper Prototyping
804,Mobile Interaction Design
805,Card Sorting
806,Persona Creation
807,Heuristic Analysis
808,UED
809,Axure
810,Mobile Design
811,User Experience Testing
812,User Journeys
813,Mobile Interface Design
814,Cognitive Walkthrough
815,Usability Engineering
816,Affinity Diagramming
817,Information Architechture
818,PHP
819,HTML
820,MYSQL
821,CSS
822,DHTML
823,CSS Javascript
824,jQuery
825,Cross-browser Compatibility
826,AJAX
827,XHTML
828,CSS2
829,JSON
830,Homesite
831,phpMyAdmin
832,JavaScript
833,XSL
834,Advanced CSS
835,Web Standards
836,MVC
837,W3C
838,HTML emails
839,Markup Languages
840,HAML
841,CoffeeScript
842,Capybara
843,Compass
844,RSpec
845,Sinatra
846,RVM
847,Capistrano
848,Rake
849,Shoulda
850,ActiveRecord
851,TextMate
852,Heroku
853,JSLint
854,Phusion Passenger
855,Stylus
856,ERB
857,Merb
858,YAML
859,Backbone.js
860,Software Design
861,Software Projects
862,Object Oriented Design
863,Software Architectural Design
864,Agile Modeling
865,Software Engineering
866,Software Solution Architecture
867,Distributed Development
868,Offshore Software Development
869,Continuous Integration
870,Software Engineers
871,Agile Project Management
872,Refactoring
873,Distributed Teams
874,Multithreading
875,Application Architecture
876,SCCS
877,Win32 API
878,Distributed Applications
879,OOAD
880,C++
881,Boost C++
882,OpenGL
883,MFC
884,Qt
885,CMake
886,DirectX
887,OpenCV
888,CppUnit
889,GLSL
890,x86 Assembly
891,Valgrind
892,Pthreads
893,GNU Debugger
894,HLSL
895,ATL COM
896,Doxygen
897,Qt Creator
898,Eclipse
899,JDBC
900,Maven
901,Servlets
902,IntelliJ IDEA
903,Java Web Start
904,JSP
905,Ant
906,Tomcat
907,Mockito
908,Hibernate
909,JAXB
910,NetBeans
911,JPA
912,Java
913,EJB
914,Maven2
915,JAX-WS
916,JMS
917,J2EE Application Development
918,WTL
919,ATL
920,GDI
921,MS VC++
922,Winsock
923,STL
924,BoundsChecker
925,GDI+
926,MSXML
927,Managed C++
928,ObjectARX
929,ISAPI
930,DirectShow
931,DCOM
932,DirectDraw
933,SoftIce
934,ActiveX
935,MAPI
936,Borland C++
937,GNU C++
938,DLL
939,C++/CLI
940,ReSharper
941,TFS
942,LINQ
943,WinForms
944,NUnit
945,ADO.NET
946,User Controls
947,Telerik
948,Entity Framework
949,XAML
950,Enterprise Library
951,MSTest
952,MSBuild
953,Visual Studio Team System
954,Infragistics
955,ASP.NET AJAX
956,Custom Controls
957,Custom Web Parts
958,CodeSmith
959,DevExpress
960,WCF
961,WCF Services
962,MVVM
963,WPF
964,NHibernate
965,ASP.NET MVC
966,.NET Remoting
967,MSMQ
968,.NET
969,QML
970,Qtopia
971,Maemo
972,MeeGo
973,Nokia Qt
974,KDevelop
975,KDE
976,Trolltech Qt
977,PyQt
978,GTK
979,Carbide C++
980,VTK
981,GTK+
982,Glib
983,Open Inventor
984,FLTK
985,Xlib
986,S60
987,python
988,Django
989,NumPy
990,SciPy
991,SQLAlchemy
992,Matplotlib
993,wxPython
994,Celery
995,NLTK
996,WSGI
997,Flask
998,CherryPy
999,Web2py
1000,TurboGears
1001,PyGTK
1002,Pylons
1003,Pygame
1004,SCons
1005,Zope
1006,PyMEL
1007,Data Munging
1008,Data Products
1009,Collaborative Filtering
1010,Mahout
1011,Dimensionality Reduction
1012,Unsupervised Learning
1013,Unstructured Data
1014,SciPy
1015,NumPy
1016,Scientific Data Management
1017,NLTK
1018,Exploratory Data Analysis
1019,Feature Selection
1020,Association Rules
1021,Gephi
1022,Sqoop
1023,Classifiers
1024,d3.js
1025,Recommender Systems
1026,Network Science
1027,Data Science
1028,Web Scraping
1029,Regular Expressions
1030,Text Mining
1031,Natural Language Processing
1032,MapReduce
1033,Data Visualization
1034,Tableau
1035,Scientific Computing
1036,Predictive Analytics
1037,Predictive Modeling
1038,Hadoop
1039,Big Data
1040,Machine Learning
1041,Data Analytics
1042,Amazon Web Services (AWS)
1043,Statistical Modelin
1044,Text Classification
1045,Word Sense Disambiguation
1046,Natural Language
1047,Semi-supervised Learning
1048,Sentiment Analysis
1049,Text Analytics
1050,Statistical Machine Translation
1051,Computational Linguistics
1052,Semantic Analysis
1053,Computational Semantics
1054,Web Mining
1055,Natural Language Generation
1056,Semantic Search
1057,Lexical Semantics
1058,Language Technology
1059,Question Answering
1060,WordNet
1061,User Modeling
1062,Reputation Systems
1063,Social Graph
1064,User Behavior
1065,Relevance
1066,Graphical Models
1067,Music Information Retrieval
1068,Cascading
1069,Case-Based Reasoning
1070,Handwriting Recognition
1071,Computer Aided Diagnosis
1072,Object Detection
1073,Object Tracking
1074,Feature Extraction
1075,Markov Decision Processes
1076,Mallet
1077,Camera Calibration
1078,Bayesian
1079,Markov models
1080,Hidden Markov Models
1081,Amazon Mechanical Turk
1082,Matplotlib
1083,Praat
1084,Language Processing
1085,Semantic Networks
1086,Buzz Monitoring
1087,Voldemort
1088,Faceted Search
1089,Ad Targeting
1090,Convex Optimization
1091,Bayesian networks
1092,Reinforcement Learning
1093,Anomaly Detection
1094,Bayesian methods
1095,Bayesian inference
1096,Markov Chain Monte Carlo
1097,NLP
1098,Atlassian JIRA
1099,PRD
1101,MRD
1102,Internet Recruiting
1103,cake php
1104,Internet Recruiting
1105,Problem Solving
1106,SQL
1107,Usability Research
1108,Windows
1109,Patent Research
1110,Social Network Analytics
1869,Product Definition
1870,Scrum
1871,Screen Scraping
1872,CakePHP
1873,Competitive Analysis
1874,SAP R/3
1875,Hydraulics
1876,Android
1877,Cocos2d
1878,Mobile Games
1879,R
1880,Semaphore
1881,Multi-threaded Applications
1882,gSOAP
1883,Product Launch
1884,Mobile Applications
1885,Game Development
1886,OpenGL ES
1887,C#
1888,Photoshop
1889,Visual Studio
1890,API
1891,Research
1892,Mathematica
1893,Cloud Computing
1894,Market Research
1895,Product Strategy
1896,Catia
1897,Entrepreneurship
1898,User Experience
1899,Product Marketing
1900,Strategy
1901,Engineering
1902,Statistics
1903,Visual Basic
1904,PowerPoint
1905,Web Design
1906,Product Development
1907,Start-ups
1908,Web Development
1909,Operating Systems
1910,C
1911,Matlab
1912,Octave
1913,SaaS
1914,Unix
1915,Product Management
1916,Affiliate Marketing
1924,PL/SQL
1925,Software Project Management
1926,Multiphase Flow
1927,Microsoft SQL Server
1935,FRESHER
1937,OOP
1938,SilverLight
1939,MS Sql Server
1940,DotNetNuke
1941,WIX
1942,Nant Script
1943,College Recruiting
1944,Image Processing
1945,Numerical Analysis
1946,Testing
1947,E-commerce
1948,Fatigue Analysis
1949,Rapid Prototyping
1950,Analytics
1951,Fluid Power
1952,Apache 2
1953,Ruby
1954,Apache Pig
1955,Genetic Algorithms
1956,Markov Chains
1957,Data Structures
1958,Algorithms
1959,Data Mining
1960,Software Development
1961,LaTeX
1962,Computer Science
1963,Objective-C
1964,Android Development
1965,iOS development
1966,Distributed Systems
1967,Time Series Analysis
1968,Knowledge Discovery
1969,Information Retrieval
1970,Scala
1971,Pandas
1972,CAE
1973,Finite Element Analysis
1974,Simulink
1975,Automotive
1976,Design Optimization
1977,Occupant Restraint Systems
1978,Durability
1979,Nastran
1980,Vehicles
1981,Simulations
1982,Mechanical Engineering
1983,Durable Goods
1984,Pro Engineer
1985,Automotive Engineering
1986,CAD
1987,Marketing Strategy
1988,Marketing
1989,Marketing Research
1990,Linear Programming
1991,Process Improvement
1992,ilog cplex
1993,Six Sigma
1994,Supply Chain Management
1995,Lean Manufacturing
1996,Continuous Improvement
1997,Minitab
1998,DMAIC
1999,Quality Assurance
2000,Supply Chain
2002,AUTOCAD
2003,SOLIDWORKS
2004,CATIA V5
2006,STAR CCM+
2007,Manufacturing
2008,CFD
2009,HTML + CSS
2010,Business Analysis
2011,User Interface Design
2012,iRise
2013,Agile Methodologies
2014,Business Process Improvement
2015,Visio
2016,Web Applications
2017,Requirements Analysis
2018,Business Intelligence
2019,Accounting
2020,Tax
2021,Financial Analysis
2022,Financial Reporting
2023,Auditing
2024,Adobe Photoshop
2025,Visual Basic for Applications
2026,Social Media
2027,Editing
2028,Public Speaking
2029,Social Media Marketing
2030,Non-profits
2031,Strategic Planning
2032,Data Analysis
2033,Microsoft Office
2034,Graphic Design
2035,Biological Data Analysis
2036,Google Analytics
2037,Data
2038,Data Modeling
2039,Legal Research
2040,Creative Strategy
2041,Digital Strategy
2042,Pricing Strategy
2043,SEM
2044,Creative Direction
2045,WordPress
2046,Web Analytics
2047,Adobe Creative Suite
2048,SPSS
2049,Content Strategy
2050,Brand Management
2051,Perl
2052,Heat Transfer
2053,Maple
2054,Project Management
2055,Programming Languages
2056,Product Lifecycle Management
2057,Teamcenter
2058,Programming
2059,Optimization
2060,CAD/CAM
2061,Unigraphics
2062,Social Networking
2063,Recruiting
2064,SEO
2065,Online Marketing
2066,Recruitment Advertising
2067,Community Building
2068,iPhone Application Development
2069,Android SDK
2070,Leadership
2071,HTML 5
2072,CSS3
2073,Git
2074,Chromecast
2075,Software Design Patterns
2076,Java Enterprise Edition
2077,OAuth
2078,User Interface
2079,Flex
2080,VB.NET
2081,Test Automation
2082,Functional Programming
2083,Object Oriented Software
2084,Qualitative Research
2085,Proposal Writing
2086,User Experience Design
2087,Information Architecture
2088,Virtual Communities
2089,Usability Testing
2090,User-centered Design
2091,Survey Research
2092,Ethnography
2093,Collaborative Problem Solving
2094,Conceptual Modeling
2095,Applied Research
2096,Information Visualization
2097,GIS
2098,Stakeholder Analysis
2099,Knowledge Acquisition
2100,Systems Analysis
2101,Social Environmental Systems
2102,Pro/Engineer
2103,Mathematical Modeling
2104,Probability Theory
2105,Random Networks
2106,People Skills
2107,Stochastic Calculus
2108,SAS
2109,Statistical Inference
2110,Regression Analysis
2111,Mathematics
2112,Artificial Neural Networks
2113,Business Strategy
2114,Invention
2115,Strategic Partnerships
2116,Quantitative Analytics
2117,Bayesian statistics
2118,Statistical Modeling
2119,VBA
2120,Revenue Analysis
2121,Hotel Management
2122,Hotels
2123,Hospitality
2124,Hospitality Industry
2125,Root Cause Analysis
2126,Hospitality Management
2127,Yield Management
2128,Sales Management
2129,Event Management
2130,Account Management
2131,Market Planning
2132,Sales
2133,Budgets
2134,Team Building
2135,Pricing
2136,Pricing Analysis
2137,Holidex
2138,OnQ R&I
2139,Opening Hotels
2140,Pre-opening
2141,Micros
2142,Lanyon
2143,GDS systems
2144,Revenue Forecasting
2145,Microsoft Excel
2146,Access
2147,Pattern Recognition
2148,Computer Vision
2149,Core Java
2150,XML
2151,Linux
2152,Web Services
2153,Shell Scripting
2154,Signal Processing
2155,VHDL
2156,PostgreSQL
2157,Embedded Systems
2158,Artificial Intelligence
2159,Databases
2160,iPhone development
2161,Apache
2162,Jersey
2163,Employee Benefits
2164,Risk Management
2165,Financial Sales
2166,Forecasting
2167,Managerial Finance
2168,Finance
2169,Corporate Finance
2170,Financial Modeling
2171,Financial Accounting
2172,Chemical Physics
2173,Salesforce.com
2174,Molecular Dynamics
2175,Monte Carlo
2176,Salesforce.com Administration
2177,Salesforce.com Development
2178,Apex Programming
2179,Visualforce Pages
2180,Physics
2181,RapidMiner
2182,Node.js
2183,Angular.js
2184,UX Design
2185,Front-End Design Development
2186,Wordpress Design
2187,Wordpress Development
2188,Online Marketing Strategy
2189,PHP Development
2190,Illustrator
2191,Excel
2192,Ruby on Rails
2193,CodeIgniter
2194,html5
2195,Writing
2196,Board Leadership
2197,Local Marketing
2198,PPC
2199,Tax Law
2200,FINRA
2201,FINCEN
2202,Web Project Management
2203,CRM software
2204,Marketing Communications
2205,CRM
2206,Website Development
2207,API Design
2208,Design Patterns
2209,Architectural Patterns
2210,Stream Processing
2211,ClearCase
2212,Rational Team Concert
2213,Linux development
2214,Agent-based Modeling
2215,Algorithm Design
2216,System Architecture
2217,Decentralization
2218,ZeroMQ
2219,TCP/IP
2220,Integration
2221,UML
2222,Test Driven Development
2223,LAMP
2224,Zend Framework
2225,Mantis
2226,Zend Studio
2227,Open Source
2228,Redis
2229,Microprocessors
2230,JRuby
2231,MongoDB
2232,Derivatives
2233,Investment Banking
2234,Equities
2235,Commodity
2236,Equity Derivatives
2237,Trading
2238,Fixed Income
2239,Bloomberg
2240,Trading Systems
2241,Quantitative Finance
2242,Options
2243,Consulting
2244,Social Network Analysis
2245,Visual Design
2246,InDesign
2247,Corporate Identity
2248,Mockups
2249,Direct Marketing
2250,Branding & Identity
2251,Digital Marketing
2252,Mailers
2253,Book Design
2254,Typography
2255,Product Design
2256,Experience Design
2257,Graphics
2258,Advertising
2259,Usability
2260,Logo Design
2261,Copywriting
2262,Persona
2263,Team Management
2264,Information Design
2265,Event Design
2266,Pre-press
2267,Communication Design
2268,User Analysis
2269,Customer Experience
2270,Customer Insight
2271,Automated Manufacturing Systems
